PM10,EM2_CO,EM2_NOX,EM2_SOX,EM2_TSP,EM2_PM10,EM2_VOC,EM2_NH3,EM2_PM2.5,EM3_CO,EM3_NOX,EM3_SOX,EM3_TSP,EM3_PM10,EM3_VOC,EM3_NH3,EM3_PM2.5,EM4_CO,EM4_NOX,EM4_SOX,EM4_TSP,EM4_PM10,EM4_VOC,EM4_NH3,EM4_PM2.5,EM5_CO,EM5_NOX,EM5_SOX,EM5_TSP,EM5_PM10
80.99277302,687515,521681,242364,19577,13165,14227,10104,0,394486,2835910,2061987,134576,87572,77322,39940,0,2415470,15557234,17593852,3669310,2233910,7654048,720724,0,0,0,0,0,0
58.4393531,495426,403620,347037,25014,15933,6841,9886,0,8803,80490,97192,33467,22391,1239,932,0,0,0,635,64,39,122977,0,0,0,0,0,0,0
43.73226591,167069,751554,205630,24804,15494,12288,16755,0,8161,30029,24794,862,544,1426,921,0,0,0,1040,0,0,172745,0,0,0,0,0,0,0
26.88595271,30444,22162,9691,971,626,289,726,0,374,8242,13249,7419,4971,44,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0
66.60685484,134775.5,314376,46989,4587,3353,12019,6177.5,0,159712,751155,401500,16979,11380.5,25600.5,11970,0,0,182000.5,320234,27422,25463.5,91125,0,0,0,0,0,0,0
44.64045699,128255.5,326692.5,241071.5,10678.5,6987.5,10764.5,7121.5,0,55004.5,503383.5,425185.5,6639.5,4127.5,12057,7819.5,0,0,0,924,19,11.5,687008.5,0,0,0,0,0,0,0
40.14010989,109797,420764,260398,56835,35262,13494,13747,0,4899,19158,24355,941,588,1031,677,0,0,0,520,0,0,2311,9390,0,0,0,0,0,0
46.3266129,265670,735297,186302,18763,12280,20915,18340,0,431227,1388617,135163,39571,37206,66894,17397,0,21,904,3129,2060,1264,89298,0,0,0,0,0,0,0
43.1155914,134775.5,314376,46989,4587,3353,12019,6177.5,0,159712,751155,401500,16979,11380.5,25600.5,11970,0,0,182000.5,320234,27422,25463.5,91125,0,0,0,0,0,0,0
65.63776224,85710,166190,97465,11623,7258,2428,4996,0,513,4590,7814,19,12,103,79,0,0,0,0,0,0,260,0,0,0,0,0,0,0
67.63129252,234250,627885,60300,5613,4443,27971,9193,0,4397,22912,15619,227,151,798,305,0,,,,,,,,,0,0,0,0,0
71.71736205,211827,656683,68117,4368,3427,28985,10224,0,3044,9285,217,33,28,454,120,0,,,,,,,,,0,0,0,0,0
70.81612447,397527,740463,94330,10745,8448,32710,10325,0,374,1158,37,4,3,51,20,0,,,,,,,,,0,0,0,0,0
75.34620887,258001,530868,58832,6391,5012,23064,7778,0,1686,5245,186,18,12,211,112,0,,,,,,,,,0,0,0,0,0
47.92462988,52503,103034,51131,2879,1899,2768,2907,0,29759,291214,466376,7760,4985,6870,4339,0,16516,710196,463030,16516,15690,33072,0,0,0,0,0,0,0
73.41882674,345821,689963,82912,8959,7020,28927,10453,0,7641,28941,4213,150,97,978,578,0,,,,,,,,,0,0,0,0,0
91.31940701,374960,703781,88219,9359,7450,30933,9853,0,2690,25232,41180,461,286,612,379,0,,,,,,,,,0,0,0,0,0
